member_id,full_name,gender,date_of_birth,city,city_tier,state,occupation,marital_status,gym_branch_id,join_date,membership_type,referral_source,preferred_workout_time,has_personal_trainer,primary_goal,signup_channel,is_dob_missing,age,is_implausible_age
MBR-006117,Snehal Shah,Female,1996-09-04,Mysore,Tier3,Karnataka,Salaried-IT,Single,BR-029,2022-02-16,PT-Combo,Walk-in,Early Morning (5-7am),False,General Fitness,App,False,29.9,False
MBR-014781,Pratik Mehta,Male,2003-06-17,Surat,Tier2,Gujarat,Student,Single,BR-031,2025-09-13,Premium,Walk-in,Evening (6-9pm),False,Muscle Gain,App,False,23.2,False
MBR-004107,Rohan Malhotra,Male,1994-08-23,Kolkata,Tier1,West Bengal,Homemaker,Married,BR-017,2025-05-15,Premium,Walk-in,Evening (6-9pm),False,General Fitness,In-person,False,32.0,False
MBR-014393,Deepak Sharma,Male,1986-07-17,Mumbai,Tier1,Maharashtra,Salaried-Non IT,Married,BR-016,2022-04-09,Premium,Instagram Ad,Evening (6-9pm),True,Weight Loss,In-person,False,40.1,False
MBR-008948,Nikhil Mishra,Male,1998-05-19,Delhi,Tier1,Delhi,Freelancer,Single,BR-018,2024-12-15,Standard,Justdial,Evening (6-9pm),False,Muscle Gain,In-person,False,28.2,False
MBR-011812,Swati Bhalla,Female,1990-01-05,Dehradun,Tier3,Uttarakhand,Salaried-Non IT,Married,BR-004,2021-01-16,Premium,Walk-in,Evening (6-9pm),True,Muscle Gain,In-person,False,36.6,False
MBR-002903,Bhavana Iyengar,Female,2009-08-18,Jaipur,Tier2,Rajasthan,Student,Single,BR-013,2025-03-12,Premium,Instagram Ad,Evening (6-9pm),False,Sports Training,Website,False,17.0,False
MBR-003666,Naveen Venkataraman,Male,1999-09-23,Bengaluru,Tier1,Karnataka,Salaried-Non IT,Single,BR-033,2025-02-08,PT-Combo,Instagram Ad,Evening (6-9pm),True,Rehab,Website,False,26.9,False
MBR-006338,Kajal Kulkarni,Female,2006-08-25,Chennai,Tier1,Tamil Nadu,Freelancer,Single,BR-015,2023-08-28,Basic,Friend Referral,Evening (6-9pm),False,Weight Loss,In-person,False,20.0,False
MBR-016950,Mahesh Menon,Male,1990-04-09,Bengaluru,Tier1,Karnataka,Business Owner,Married,BR-033,2025-06-12,Basic,Friend Referral,Evening (6-9pm),False,Weight Loss,App,False,36.3,False
MBR-016016,Arindam Chatterjee,Male,1999-10-12,Gurugram,Tier1,Haryana,Business Owner,Single,BR-009,2023-04-24,Standard,Aggregator App,Morning,False,Rehab,Website,False,26.8,False
MBR-004544,Sowmya Nair,Female,1996-08-19,Gurugram,Tier1,Haryana,Salaried-Non IT,Married,BR-037,2022-11-23,Basic,Aggregator App,Late Night,False,Muscle Gain,Website,False,30.0,False
MBR-012476,Ananya Chakraborty,Other,1994-01-17,Bengaluru,Tier1,Karnataka,Business Owner,Single,BR-033,2025-09-28,Standard,Walk-in,Evening (6-9pm),True,General Fitness,Website,False,32.6,False
MBR-004475,Sanjay Anand,Male,1984-05-11,Jalandhar,Tier2,Punjab,Salaried-IT,Married,BR-007,2021-09-20,Standard,Aggregator App,Evening (6-9pm),False,Rehab,App,False,42.3,False
MBR-013812,Venkatesh Achary,Male,2005-05-08,Hyderabad,Tier1,Telangana,Freelancer,Single,BR-034,2024-09-02,Basic,Friend Referral,Early Morning (5-7am),False,Muscle Gain,App,False,21.3,False
MBR-002412,Madhavi Iyengar,Female,2002-04-09,Mysore,Tier3,Karnataka,Homemaker,Married,BR-029,2025-06-12,Standard,Friend Referral,Evening (6-9pm),False,Weight Loss,Website,False,24.3,False
MBR-010365,Kishore Achary,Male,2006-04-16,Chennai,Tier1,Tamil Nadu,Student,Single,BR-015,2025-07-12,Standard,Walk-in,Morning,False,General Fitness,Website,False,20.3,False
MBR-000305,Padma Rao,Female,1999-09-13,Pune,Tier1,Maharashtra,Homemaker,Single,BR-038,2023-02-16,Premium,Walk-in,Evening (6-9pm),False,General Fitness,In-person,False,26.9,False
MBR-004135,Sathish Krishnan,Male,1994-09-24,Bengaluru,Tier1,Karnataka,Student,Single,BR-033,2021-10-18,Standard,Walk-in,Evening (6-9pm),True,Weight Loss,App,False,31.9,False
MBR-005339,Nikita Desai,Female,1996-04-27,Ahmedabad,Tier1,Gujarat,Homemaker,Single,BR-038,2023-10-28,Basic,Corporate Tie-up,Morning,False,Pre-Wedding Prep,App,False,30.3,False
MBR-003581,Sourav Dutta,Male,1995-02-19,Gurugram,Tier1,Haryana,Govt Employee,Single,BR-009,2023-01-14,PT-Combo,Instagram Ad,Late Night,True,Sports Training,In-person,False,31.5,False
MBR-009024,Sowmya Raman,Female,1999-03-20,Hyderabad,Tier1,Telangana,Student,Single,BR-011,2021-02-24,Premium,Walk-in,Morning,True,Muscle Gain,In-person,False,27.4,False
MBR-006124,Mohit Aggarwal,Male,2006-06-14,Chandigarh,Tier2,Punjab,Student,Single,BR-008,2024-11-16,PT-Combo,Instagram Ad,Early Morning (5-7am),True,Muscle Gain,Website,False,20.2,False
MBR-008534,Abhijit Kher,Male,2005-10-17,Vadodara,Tier2,Gujarat,Student,Single,BR-003,2024-09-01,Standard,Justdial,Evening (6-9pm),False,Muscle Gain,Website,False,20.8,False
MBR-013943,Anil Grover,Male,2004-02-17,Patna,Tier3,Bihar,Student,Single,BR-032,2025-01-08,Standard,Instagram Ad,Afternoon,False,Muscle Gain,In-person,False,22.5,False
MBR-000664,Abhinav Verma,Male,1997-08-09,Bengaluru,Tier1,Karnataka,Homemaker,Married,BR-033,2023-04-01,Premium,Walk-in,Evening (6-9pm),False,General Fitness,Website,False,29.0,False
MBR-013505,Jayesh Bhosale,Male,2003-03-11,Nagpur,Tier2,Maharashtra,Student,Single,BR-007,2021-01-18,Standard,Walk-in,Afternoon,False,Muscle Gain,App,False,23.4,False
MBR-009792,Isha Rana,Female,1991-01-18,Chandigarh,Tier2,Punjab,Homemaker,Married,BR-008,2025-05-14,Premium,Walk-in,Evening (6-9pm),False,Weight Loss,In-person,False,35.6,False
MBR-005543,Rajesh Mehta,Male,1992-08-20,Chandigarh,Tier2,Punjab,Homemaker,Single,BR-008,2022-02-15,Standard,Corporate Tie-up,Evening (6-9pm),False,Weight Loss,Website,False,34.0,False
MBR-004053,Suresh Iyengar,Male,1992-10-02,Bengaluru,Tier1,Karnataka,Homemaker,Married,BR-033,2023-10-28,Premium,Walk-in,Evening (6-9pm),False,General Fitness,In-person,False,33.9,False
MBR-006051,Anjali Rana,Female,1994-04-28,Mumbai,Tier1,Maharashtra,Homemaker,Married,BR-039,2021-03-27,Premium,Walk-in,Afternoon,False,Weight Loss,Website,False,32.3,False
MBR-017366,Divya Nambiar,Female,1982-01-22,Hyderabad,Tier1,Telangana,Homemaker,Married,BR-022,2024-01-16,Premium,Friend Referral,Evening (6-9pm),True,Weight Loss,Website,False,44.6,False
MBR-010064,Anand Krishnan,Male,1996-07-24,Hyderabad,Tier1,Telangana,Freelancer,Single,BR-034,2023-02-14,Basic,Corporate Tie-up,Evening (6-9pm),False,Pre-Wedding Prep,In-person,False,30.1,False
MBR-001232,Pallavi Pawar,Female,1980-07-10,Mumbai,Tier1,Maharashtra,Business Owner,Married,BR-036,2022-10-18,Standard,Walk-in,Evening (6-9pm),True,General Fitness,App,False,46.1,False
MBR-013540,Dinesh Venkataraman,Male,2007-04-06,Chennai,Tier1,Tamil Nadu,Business Owner,Single,BR-010,2024-01-24,Premium,Justdial,Evening (6-9pm),False,General Fitness,App,False,19.4,False
MBR-013362,Sayali Kher,Female,2003-08-22,Mumbai,Tier1,Maharashtra,Student,Single,BR-039,2024-10-24,Premium,Walk-in,Evening (6-9pm),False,Muscle Gain,Website,False,23.0,False
MBR-011384,Aishwarya Shetty,Female,2001-04-26,Hyderabad,Tier1,Telangana,Salaried-Non IT,Single,BR-022,2024-07-28,Standard,Walk-in,Morning,False,Weight Loss,App,False,25.3,False
MBR-012934,Anand Subramaniam,Male,1978-05-05,Hyderabad,Tier1,Telangana,Business Owner,Single,BR-011,2022-01-13,Basic,Friend Referral,Late Night,False,Muscle Gain,Website,False,48.3,False
MBR-007959,Priya Murthy,Female,1999-04-03,Bengaluru,Tier1,Karnataka,Salaried-IT,Single,BR-033,2023-02-19,PT-Combo,Instagram Ad,Evening (6-9pm),True,Muscle Gain,App,False,27.4,False
MBR-015881,Vaishali Jadhav,Female,1994-01-01,Nashik,Tier3,Maharashtra,Salaried-IT,Single,BR-012,2022-11-24,Standard,Instagram Ad,Evening (6-9pm),False,Muscle Gain,In-person,False,32.6,False
MBR-014290,Padma Nair,Female,1988-06-10,Chennai,Tier1,Tamil Nadu,Business Owner,Married,BR-015,2023-02-03,Basic,Walk-in,Evening (6-9pm),False,Pre-Wedding Prep,App,False,38.2,False
MBR-014246,Mahesh Subramaniam,Male,2000-06-16,Bengaluru,Tier1,Karnataka,Student,Single,BR-033,2024-07-27,Premium,Aggregator App,Evening (6-9pm),False,Pre-Wedding Prep,In-person,False,26.2,False
MBR-015071,Anil Rana,Male,1994-01-12,Mumbai,Tier1,Maharashtra,Salaried-IT,Married,BR-039,2022-01-22,Standard,Friend Referral,Evening (6-9pm),False,General Fitness,App,False,32.6,False
MBR-002790,Prasad Reddy,Male,1992-05-27,Chennai,Tier1,Tamil Nadu,Salaried-Non IT,Married,BR-010,2024-02-05,Basic,Walk-in,Evening (6-9pm),False,Sports Training,Website,False,34.2,False
MBR-016130,Payal Gupta,Female,1985-09-01,Chandigarh,Tier2,Punjab,Freelancer,Married,BR-008,2021-08-12,Standard,Instagram Ad,Late Night,False,Muscle Gain,App,False,41.0,False
MBR-004615,Ravi Singh,Male,2003-07-21,Bengaluru,Tier1,Karnataka,Salaried-IT,Single,BR-033,2025-03-03,Basic,Friend Referral,Afternoon,False,Muscle Gain,In-person,False,23.1,False
MBR-005869,Sanjay Mehta,Male,2000-06-25,Pune,Tier1,Maharashtra,Student,Single,BR-027,2021-08-10,Premium,Walk-in,Late Night,False,Sports Training,Website,False,26.1,False
MBR-007268,Anirban Saha,Other,1992-05-14,Kolkata,Tier1,West Bengal,Govt Employee,Single,BR-017,2021-06-11,Basic,Instagram Ad,Evening (6-9pm),False,Muscle Gain,App,False,34.3,False
MBR-011971,Anusha Varma,Female,2002-05-28,Chennai,Tier1,Tamil Nadu,Student,Single,BR-002,2025-01-19,Standard,Walk-in,Evening (6-9pm),False,Muscle Gain,In-person,False,24.2,False
MBR-007599,Vani Naidu,Female,2002-02-01,Coimbatore,Tier2,Tamil Nadu,Student,Single,BR-019,2021-11-02,Premium,Justdial,Evening (6-9pm),False,General Fitness,In-person,False,24.5,False
MBR-008967,Subrata Roy,Male,1970-06-02,Jaipur,Tier2,Rajasthan,Business Owner,Married,BR-013,2023-12-06,Premium,Corporate Tie-up,Morning,False,General Fitness,App,False,56.2,False
MBR-015024,Debjani Das,Female,1997-11-16,Visakhapatnam,Tier2,Andhra Pradesh,Salaried-IT,Single,BR-024,2024-05-10,Basic,Justdial,Morning,False,Muscle Gain,Website,False,28.7,False
MBR-009491,Vignesh Chandran,Male,1991-07-26,Chennai,Tier1,Tamil Nadu,Homemaker,Married,BR-002,2024-07-22,Basic,Walk-in,Morning,False,General Fitness,App,False,35.1,False
MBR-007565,Suyash Trivedi,Male,1992-12-13,Mumbai,Tier1,Maharashtra,Business Owner,Married,BR-016,2023-02-15,Standard,Corporate Tie-up,Evening (6-9pm),False,General Fitness,In-person,False,33.7,False
MBR-009795,Rahul Anand,Male,1999-03-12,Amritsar,Tier3,Punjab,Govt Employee,Married,BR-026,2022-01-04,PT-Combo,Walk-in,Morning,True,General Fitness,In-person,False,27.4,False
MBR-011013,Kajal Chavan,Female,2001-02-23,Nashik,Tier3,Maharashtra,Student,Single,BR-012,2024-08-14,Premium,Walk-in,Late Night,True,Weight Loss,In-person,False,25.5,False
MBR-003539,Debjani Dutta,Female,1994-11-15,Mumbai,Tier1,Maharashtra,Salaried-Non IT,Married,BR-036,2024-09-19,Premium,Instagram Ad,Late Night,False,Muscle Gain,App,False,31.7,False
MBR-005228,Ashish Rana,Male,1997-05-26,Jaipur,Tier2,Rajasthan,Salaried-IT,Single,BR-020,2025-08-23,Basic,Walk-in,Evening (6-9pm),True,Muscle Gain,In-person,False,29.2,False
MBR-016443,Biswajit Banerjee,Male,1982-09-15,Kolkata,Tier1,West Bengal,Business Owner,Married,BR-017,2025-03-17,Basic,Friend Referral,Early Morning (5-7am),False,Weight Loss,In-person,False,43.9,False
MBR-017136,Kishore Nair,Male,1995-06-13,Chennai,Tier1,Tamil Nadu,Business Owner,Single,BR-010,2023-01-26,Basic,Friend Referral,Afternoon,False,General Fitness,App,False,31.2,False
MBR-010825,Ravi Verma,Male,2007-07-26,Ahmedabad,Tier1,Gujarat,Salaried-Non IT,Single,BR-038,2023-04-04,Standard,Friend Referral,Evening (6-9pm),False,General Fitness,In-person,False,19.1,False
MBR-002599,Vijay Nair,Male,2003-03-04,Bengaluru,Tier1,Karnataka,Student,Single,BR-033,2022-01-05,Premium,Instagram Ad,Evening (6-9pm),False,Muscle Gain,App,False,23.4,False
MBR-003936,Gaurav Malhotra,Male,1997-08-20,Delhi,Tier1,Delhi,Business Owner,Single,BR-005,2024-07-25,Standard,Instagram Ad,Early Morning (5-7am),False,Muscle Gain,App,False,29.0,False
MBR-015710,Tanushree Bhattacharya,Female,2000-12-28,Kolkata,Tier1,West Bengal,Salaried-Non IT,Single,BR-017,2023-02-02,Standard,Instagram Ad,Evening (6-9pm),True,General Fitness,In-person,False,25.6,False
MBR-006750,Moushumi Saha,Female,1999-08-22,Patna,Tier3,Bihar,Salaried-IT,Single,BR-006,2022-05-13,PT-Combo,Justdial,Late Night,True,Weight Loss,App,False,27.0,False
MBR-016684,Riya Rane,Female,1994-03-07,Kolkata,Tier1,West Bengal,Salaried-Non IT,Married,BR-017,2023-05-05,Premium,Walk-in,Evening (6-9pm),True,Muscle Gain,App,False,32.4,False
MBR-016205,Ashish Chauhan,Male,1997-12-08,Gurugram,Tier1,Haryana,Student,Single,BR-009,2021-11-11,Standard,Friend Referral,Evening (6-9pm),False,Weight Loss,App,False,28.7,False
MBR-003625,Anil Dhawan,Male,2009-11-26,Amritsar,Tier3,Punjab,Student,Single,BR-026,2025-05-11,Basic,Instagram Ad,Morning,False,General Fitness,In-person,False,16.7,False
MBR-013577,Sudeshna Saha,Female,1999-02-01,Surat,Tier2,Gujarat,Salaried-IT,Single,BR-031,2025-09-11,Standard,Walk-in,Evening (6-9pm),False,Weight Loss,App,False,27.5,False
MBR-002559,Ashok Banerjee,Male,,Ahmedabad,Tier1,Gujarat,Business Owner,Single,BR-038,2024-01-24,Standard,Walk-in,Morning,False,Muscle Gain,App,True,,False
MBR-002999,Mahesh Nambiar,Male,2000-03-11,Coimbatore,Tier2,Tamil Nadu,Student,Single,BR-014,2024-01-08,Premium,Walk-in,Late Night,False,Rehab,App,False,26.4,False
MBR-015670,Anjali Modi,Female,1993-12-22,Delhi,Tier1,Delhi,Freelancer,Married,BR-005,2024-05-24,Basic,Friend Referral,Morning,False,Muscle Gain,App,False,32.6,False
MBR-013922,Swati Sharma,Female,1982-11-07,Patna,Tier3,Bihar,Homemaker,Married,BR-023,2022-09-24,Basic,Instagram Ad,Early Morning (5-7am),False,Sports Training,App,False,43.8,False
MBR-012271,Suresh Bansal,Male,1995-01-03,Lucknow,Tier2,Uttar Pradesh,Govt Employee,Single,BR-004,2023-04-05,Basic,Justdial,Early Morning (5-7am),False,Weight Loss,App,False,31.6,False
MBR-013946,Pooja Iyer,Female,2000-08-08,Bengaluru,Tier1,Karnataka,Student,Single,BR-033,2022-11-16,Premium,Friend Referral,Evening (6-9pm),False,Muscle Gain,In-person,False,26.0,False
MBR-005173,Radhika Mehta,Female,1999-10-28,Jalandhar,Tier2,Punjab,Business Owner,Other,BR-007,2025-01-26,Standard,Instagram Ad,Evening (6-9pm),False,Muscle Gain,Website,False,26.8,False
MBR-006668,Rekha Dhawan,Female,2008-05-26,Kolkata,Tier1,West Bengal,Student,Other,BR-017,2024-09-03,Premium,Instagram Ad,Morning,True,Weight Loss,In-person,False,18.2,False
MBR-013846,Priya Iyer,Female,1996-07-17,Bengaluru,Tier1,Karnataka,Salaried-IT,Single,BR-033,2023-01-11,Basic,Instagram Ad,Evening (6-9pm),False,General Fitness,In-person,False,30.1,False
MBR-008929,Abhinav Grover,Male,1996-04-25,Gurugram,Tier1,Haryana,Salaried-IT,Other,BR-009,2023-03-05,Standard,Walk-in,Evening (6-9pm),True,Muscle Gain,In-person,False,30.3,False
MBR-008131,Ashish Mishra,Male,1997-11-12,Bhopal,Tier2,Madhya Pradesh,Salaried-Non IT,Single,BR-034,2022-01-16,Standard,Corporate Tie-up,Evening (6-9pm),False,Weight Loss,App,False,28.8,False
MBR-005332,Karthik Shetty,Male,1999-07-02,Hyderabad,Tier1,Telangana,Business Owner,Single,BR-011,2022-06-03,Basic,Walk-in,Early Morning (5-7am),False,General Fitness,In-person,False,27.1,False
MBR-003441,Neha Khurana,Female,1993-01-09,Nashik,Tier3,Maharashtra,Salaried-IT,Other,BR-012,2025-02-07,Premium,Friend Referral,Late Night,True,Rehab,In-person,False,33.6,False
MBR-006362,Komal Chopra,Female,2005-02-27,Chennai,Tier1,Tamil Nadu,Student,Single,BR-015,2021-03-06,Basic,Walk-in,Evening (6-9pm),False,General Fitness,App,False,21.5,False
MBR-005298,Rajat Aggarwal,Male,2000-11-21,Delhi,Tier1,Delhi,Govt Employee,Single,BR-005,2024-04-28,Standard,Instagram Ad,Evening (6-9pm),False,Weight Loss,App,False,25.7,False
MBR-004936,Payal Rana,Female,1998-03-02,Gurugram,Tier1,Haryana,Freelancer,Single,BR-009,2022-01-19,Basic,Instagram Ad,Afternoon,False,Weight Loss,In-person,False,28.5,False
MBR-008112,Karan Mehta,Male,1994-01-10,Mumbai,Tier1,Maharashtra,Govt Employee,Single,BR-039,2022-02-03,PT-Combo,Walk-in,Late Night,False,Sports Training,App,False,32.6,False
MBR-002941,Payal Verma,Female,1995-12-02,Gurugram,Tier1,Haryana,Salaried-IT,Single,BR-037,2024-12-18,Premium,Justdial,Morning,True,General Fitness,App,False,30.7,False
MBR-010210,Shalini Bansal,Female,2001-09-07,Nagpur,Tier2,Maharashtra,Salaried-Non IT,Single,BR-007,2024-05-04,Basic,Instagram Ad,Morning,True,Weight Loss,Website,False,24.9,False
MBR-017482,Kaushik Saha,Male,1997-06-08,Bengaluru,Tier1,Karnataka,Freelancer,Single,BR-033,2024-06-25,Basic,Justdial,Early Morning (5-7am),False,General Fitness,In-person,False,29.2,False
MBR-002228,Vikram Bansal,Male,2004-03-24,Indore,Tier2,Madhya Pradesh,Student,Single,BR-018,2023-10-04,Standard,Corporate Tie-up,Evening (6-9pm),True,Weight Loss,Website,False,22.4,False
MBR-017256,Ranjan Mukherjee,Male,1993-01-24,Guwahati,Tier3,Assam,Business Owner,Single,BR-031,2023-11-15,Standard,Instagram Ad,Morning,True,Muscle Gain,In-person,False,33.6,False
MBR-017124,Amit Pal,Male,1990-10-10,Hyderabad,Tier1,Telangana,Salaried-Non IT,Married,BR-011,2022-09-05,Standard,Friend Referral,Early Morning (5-7am),False,General Fitness,Website,False,35.8,False
MBR-000288,Ashish Khurana,Male,1993-11-15,Mumbai,Tier1,Maharashtra,Salaried-Non IT,Single,BR-036,2024-08-06,Standard,Friend Referral,Morning,False,Weight Loss,In-person,False,32.7,False
MBR-007455,Anitha Gowda,Female,1995-06-12,Chennai,Tier1,Tamil Nadu,Salaried-IT,Single,BR-010,2022-03-05,Standard,Friend Referral,Afternoon,False,General Fitness,App,False,31.2,False
MBR-002923,Vivek Mehta,Male,1992-03-27,Chandigarh,Tier2,Punjab,Homemaker,Single,BR-008,2022-04-18,Basic,Friend Referral,Evening (6-9pm),False,General Fitness,In-person,False,34.4,False
MBR-015741,Gaurav Tiwari,Male,2006-07-21,Patna,Tier3,Bihar,Student,Single,BR-006,2022-10-21,Standard,Instagram Ad,Evening (6-9pm),False,General Fitness,App,False,20.1,False
MBR-012216,Aryan Dhawan,Male,2000-05-04,Jaipur,Tier2,Rajasthan,Govt Employee,Single,BR-013,2024-01-23,Premium,Corporate Tie-up,Early Morning (5-7am),False,Muscle Gain,In-person,False,26.3,False
MBR-013295,Suresh Gupta,Male,2001-08-07,Chandigarh,Tier2,Punjab,Homemaker,Single,BR-008,2025-03-22,Basic,Walk-in,Evening (6-9pm),False,Muscle Gain,Website,False,25.0,False
MBR-008938,Isha Aggarwal,Female,1998-12-10,Bhopal,Tier2,Madhya Pradesh,Business Owner,Married,BR-034,2025-04-18,Standard,Friend Referral,Early Morning (5-7am),False,General Fitness,App,False,27.7,False
MBR-009061,Bhavna Desai,Other,2008-11-21,Pune,Tier1,Maharashtra,Salaried-Non IT,Married,BR-027,2025-05-20,Basic,Friend Referral,Evening (6-9pm),False,Rehab,In-person,False,17.7,False
MBR-017468,Ishita Anand,Female,1996-06-27,Delhi,Tier1,Delhi,Salaried-IT,Married,BR-018,2022-01-01,Premium,Justdial,Afternoon,False,General Fitness,App,False,30.1,False
MBR-013590,Vikram Anand,Male,1995-03-24,Delhi,Tier1,Delhi,Salaried-IT,Married,BR-018,2025-02-04,Premium,Justdial,Morning,False,General Fitness,App,False,31.4,False
MBR-006736,Mohit Mehta,Male,,Bhopal,Tier2,Madhya Pradesh,Homemaker,Single,BR-034,2022-11-27,Premium,Instagram Ad,Morning,False,Sports Training,App,True,,False
MBR-012665,Mohit Rana,Male,2007-11-13,Delhi,Tier1,Delhi,Salaried-Non IT,Single,BR-028,2024-08-08,Standard,Aggregator App,Evening (6-9pm),False,Muscle Gain,In-person,False,18.8,False
MBR-007456,Vijay Balan,Male,2005-03-27,Mysore,Tier3,Karnataka,Freelancer,Single,BR-029,2024-07-07,Standard,Aggregator App,Morning,False,Weight Loss,In-person,False,21.4,False
MBR-004649,Rajesh Sarkar,Male,2002-05-14,Kolkata,Tier1,West Bengal,Student,Single,BR-017,2021-01-04,Basic,Walk-in,Late Night,False,Weight Loss,In-person,False,24.3,False
MBR-014994,Piya Sarkar,Female,1994-05-25,Kolkata,Tier1,West Bengal,Salaried-Non IT,Single,BR-017,2023-03-03,Standard,Corporate Tie-up,Evening (6-9pm),False,Muscle Gain,App,False,32.2,False
MBR-009708,Deepak Subramaniam,Male,1985-12-20,Hyderabad,Tier1,Telangana,Business Owner,Married,BR-011,2024-05-01,Premium,Justdial,Evening (6-9pm),False,General Fitness,In-person,False,40.6,False
MBR-016457,Vidya Nambiar,Female,1995-09-11,Hyderabad,Tier1,Telangana,Student,Married,BR-011,2025-04-18,Premium,Walk-in,Late Night,False,Muscle Gain,App,False,30.9,False
MBR-003916,Madhavi Achary,Female,1996-04-18,Chennai,Tier1,Tamil Nadu,Business Owner,Married,BR-015,2023-01-16,Basic,Corporate Tie-up,Afternoon,False,Muscle Gain,In-person,False,30.3,False
MBR-001961,Venkatesh Murthy,Male,1998-09-01,Lucknow,Tier2,Uttar Pradesh,Govt Employee,Single,BR-030,2022-09-01,Basic,Friend Referral,Evening (6-9pm),False,Muscle Gain,App,False,28.0,False
MBR-011209,Parth Rane,Male,1996-07-02,Delhi,Tier1,Delhi,Business Owner,Single,BR-005,2021-02-02,Standard,Instagram Ad,Evening (6-9pm),False,General Fitness,Website,False,30.1,False
MBR-003763,Vandana Kapoor,Female,1995-05-26,Jalandhar,Tier2,Punjab,Salaried-IT,Married,BR-007,2024-04-26,Premium,Friend Referral,Evening (6-9pm),False,Muscle Gain,App,False,31.2,False
MBR-000923,Ganesh Nambiar,Male,2005-04-09,Bengaluru,Tier1,Karnataka,Salaried-IT,Single,BR-033,2025-03-08,Basic,Corporate Tie-up,Morning,False,Muscle Gain,App,False,21.3,False
MBR-005695,Ganesh Raman,Male,1995-12-27,Mumbai,Tier1,Maharashtra,Salaried-IT,Single,BR-029,2025-07-11,Standard,Instagram Ad,Late Night,False,Muscle Gain,Website,False,30.6,False
MBR-013670,Kavya Pillai,Female,2002-12-14,Hyderabad,Tier1,Telangana,Freelancer,Single,BR-011,2025-08-15,Basic,Friend Referral,Morning,False,Sports Training,App,False,23.7,False
MBR-001534,Simran Bansal,Female,1999-08-24,Nagpur,Tier2,Maharashtra,Student,Married,BR-001,2021-06-14,Basic,Friend Referral,Evening (6-9pm),False,Weight Loss,App,False,27.0,False
MBR-014350,Manish Singh,Male,2000-07-08,Coimbatore,Tier2,Tamil Nadu,Student,Single,BR-019,2022-09-26,Standard,Walk-in,Afternoon,False,Muscle Gain,App,False,26.1,False
MBR-010386,Vivek Chauhan,Male,1999-11-05,Delhi,Tier1,Delhi,Salaried-Non IT,Single,BR-018,2025-08-24,Standard,Instagram Ad,Morning,False,Muscle Gain,App,False,26.8,False
MBR-002070,Sanjay Gaikwad,Male,1998-12-06,Mumbai,Tier1,Maharashtra,Salaried-IT,Single,BR-016,2022-01-01,Standard,Walk-in,Evening (6-9pm),False,Weight Loss,Website,False,27.7,False
MBR-007311,Pratik Trivedi,Male,1999-07-07,Pune,Tier1,Maharashtra,Freelancer,Single,BR-027,2023-02-13,Standard,Aggregator App,Afternoon,False,Muscle Gain,App,False,27.1,False
MBR-010187,Meena Bhalla,Female,2009-12-20,Jaipur,Tier2,Rajasthan,Student,Single,BR-013,2025-07-10,Basic,Walk-in,Evening (6-9pm),False,Muscle Gain,App,False,16.6,False
