member_id,full_name,gender,date_of_birth,city,city_tier,state,occupation,marital_status,gym_branch_id,join_date,membership_type,referral_source,preferred_workout_time,has_personal_trainer,primary_goal,signup_channel
MBR-006051,Anjali Rana,Female,28-04-1994,Mumbai,Tier1,Maharashtra,Homemaker,Married,BR-039,27-03-2021,Premium,Walk-in,Afternoon,False,Weight Loss,Website
MBR-017366,Divya Nambiar,Female,1982/01/22,Hyderabad,Tier1,Telangana,Homemaker,Married,BR-022,2024/01/16,Premium,Friend Referral,Evening (6-9pm),True,Weight Loss,Website
MBR-010064,Anand Krishnan,Male,24-07-1996,Hyderabad,Tier1,Telangana,Freelancer,Single,BR-034,14-02-2023,Basic,Corporate Tie-up,Evening (6-9pm),False,Pre-Wedding Prep,In-person
MBR-001232,Pallavi Pawar,Female,10-07-1980,Mumbai,Tier1,Maharashtra,Business Owner,Married,BR-036,2022/10/18,Standard,Walk-in,Evening (6-9pm),True,General Fitness,App
MBR-013540,Dinesh Venkataraman,Male,06-04-2007,Chennai,Tier1,Tamil Nadu,Business Owner,Single,BR-010,24-01-2024,Premium,Justdial,Evening (6-9pm),False,General Fitness,App
MBR-013362,Sayali Kher,Female,22-08-2003,Mumbai,Tier1,Maharashtra,Student,Single,BR-039,24-10-2024,Premium,Walk-in,Evening (6-9pm),False,Muscle Gain,Website
MBR-011384,Aishwarya Shetty,Female,26-04-2001,Hyderabad,Tier1,Telangana,Salaried-Non IT,Single,BR-022,2024/07/28,Standard,Walk-in,Morning,False,Weight Loss,App
MBR-012934,Anand Subramaniam,Male,1978/05/05,Hyderabad,Tier1,Telangana,Business Owner,Single,BR-011,13-01-2022,Basic,Friend Referral,Late Night,False,Muscle Gain,Website
MBR-007959,Priya Murthy,Female,1999/04/03,Bangalore,Tier1,Karnataka,Salaried-IT,Single,BR-033,2023/02/19,PT-Combo,Instagram Ad,Evening (6-9pm),True,Muscle Gain,App
MBR-015881,Vaishali Jadhav,Female,1994/01/01,Nashik,Tier3,Maharashtra,Salaried-IT,Single,BR-012,2022/11/24,Standard,Instagram Ad,Evening (6-9pm),False,Muscle Gain,In-person
MBR-014290,Padma Nair,Female,10-06-1988,Chennai,Tier1,Tamil Nadu,Business Owner,Married,BR-015,03-02-2023,Basic,Walk-in,Evening (6-9pm),False,Pre-Wedding Prep,App
MBR-014246,Mahesh Subramaniam,Male,16-06-2000,Bangalore,Tier1,Karnataka,Student,Single,BR-033,27-07-2024,Premium,Aggregator App,Evening (6-9pm),False,Pre-Wedding Prep,In-person
MBR-015071,Anil Rana,Male,12-01-1994,Mumbai,Tier1,Maharashtra,Salaried-IT,Married,BR-039,2022/01/22,Standard,Friend Referral,Evening (6-9pm),False,General Fitness,App
MBR-002790,Prasad Reddy,Male,1992/05/27,Chennai,Tier1,Tamil Nadu,Salaried-Non IT,Married,BR-010,05-02-2024,Basic,Walk-in,Evening (6-9pm),False,Sports Training,Website
MBR-016130,Payal Gupta,Female,1985/09/01,Chandigarh,Tier2,Punjab,Freelancer,Married,BR-008,12-08-2021,Standard,Instagram Ad,Late Night,False,Muscle Gain,App
MBR-004615,Ravi Singh,Male,2003/07/21,Bangalore,Tier1,Karnataka,Salaried-IT,Single,BR-033,2025/03/03,Basic,Friend Referral,Afternoon,False,Muscle Gain,In-person
MBR-005869,Sanjay Mehta,Male,2000/06/25,Pune,Tier1,Maharashtra,Student,Single,BR-027,10-08-2021,Premium,Walk-in,Late Night,False,Sports Training,Website
MBR-007268,Anirban Saha,Other,1992/05/14,Kolkata,Tier1,West Bengal,Govt Employee,Single,BR-017,11-06-2021,Basic,Instagram Ad,Evening (6-9pm),False,Muscle Gain,App
MBR-011971,Anusha Varma,Female,2002/05/28,Chennai,Tier1,Tamil Nadu,Student,Single,BR-002,19-01-2025,Standard,Walk-in,Evening (6-9pm),False,Muscle Gain,In-person
MBR-007599,Vani Naidu,Female,2002/02/01,Coimbatore,Tier2,Tamil Nadu,Student,Single,BR-019,02-11-2021,Premium,Justdial,Evening (6-9pm),False,General Fitness,In-person
MBR-008967,Subrata Roy,Male,02-06-1970,Jaipur,Tier2,Rajasthan,Business Owner,Married,BR-013,06-12-2023,Premium,Corporate Tie-up,Morning,False,General Fitness,App
MBR-015024,Debjani Das,Female,1997/11/16,Visakhapatnam,Tier2,Andhra Pradesh,Salaried-IT,Single,BR-024,2024/05/10,Basic,Justdial,Morning,False,Muscle Gain,Website
MBR-009491,Vignesh Chandran,Male,1991/07/26,Chennai,Tier1,Tamil Nadu,Homemaker,Married,BR-002,22-07-2024,Basic,Walk-in,Morning,False,General Fitness,App
MBR-007565,Suyash Trivedi,Male,1992/12/13,Mumbai,Tier1,Maharashtra,Business Owner,Married,BR-016,2023/02/15,Standard,Corporate Tie-up,Evening (6-9pm),False,General Fitness,In-person
MBR-009795,Rahul Anand,Male,12-03-1999,Amritsar,Tier3,Punjab,Govt Employee,Married,BR-026,04-01-2022,PT-Combo,Walk-in,Morning,True,General Fitness,In-person
MBR-011013,Kajal Chavan,Female,2001/02/23,Nashik,Tier3,Maharashtra,Student,Single,BR-012,14-08-2024,Premium,Walk-in,Late Night,True,Weight Loss,In-person
MBR-003539,Debjani Dutta,Female,15-11-1994,Mumbai,Tier1,Maharashtra,Salaried-Non IT,Married,BR-036,2024/09/19,Premium,Instagram Ad,Late Night,False,Muscle Gain,App
MBR-005228,Ashish Rana,Male,1997/05/26,Jaipur,Tier2,Rajasthan,Salaried-IT,Single,BR-020,23-08-2025,Basic,Walk-in,Evening (6-9pm),True,Muscle Gain,In-person
MBR-016443,Biswajit Banerjee,Male,15-09-1982,Kolkata,Tier1,West Bengal,Business Owner,Married,BR-017,17-03-2025,Basic,Friend Referral,Early Morning (5-7am),False,Weight Loss,In-person
MBR-017136,Kishore Nair,Male,1995/06/13,Chennai,Tier1,Tamil Nadu,Business Owner,Single,BR-010,26-01-2023,Basic,Friend Referral,Afternoon,False,General Fitness,App
MBR-010825,Ravi Verma,Male,2007/07/26,Ahmedabad,Tier1,Gujarat,Salaried-Non IT,Single,BR-038,04-04-2023,Standard,Friend Referral,Evening (6-9pm),False,General Fitness,In-person
MBR-002599,Vijay Nair,Male,04-03-2003,Bengaluru,Tier1,Karnataka,Student,Single,BR-033,05-01-2022,Premium,Instagram Ad,Evening (6-9pm),False,Muscle Gain,App
MBR-003936,Gaurav Malhotra,Male,20-08-1997,Delhi,Tier1,Delhi,Business Owner,Single,BR-005,2024/07/25,Standard,Instagram Ad,Early Morning (5-7am),False,Muscle Gain,App
MBR-015710,Tanushree Bhattacharya,Female,28-12-2000,Kolkata,Tier1,West Bengal,Salaried-Non IT,Single,BR-017,02-02-2023,Standard,Instagram Ad,Evening (6-9pm),True,General Fitness,In-person
MBR-006750,Moushumi Saha,Female,22-08-1999,Patna,Tier3,Bihar,Salaried-IT,Single,BR-006,13-05-2022,PT-Combo,Justdial,Late Night,True,Weight Loss,App
MBR-016684,Riya Rane,Female,07-03-1994,Kolkata,Tier1,West Bengal,Salaried-Non IT,Married,BR-017,2023/05/05,Premium,Walk-in,Evening (6-9pm),True,Muscle Gain,App
MBR-016205,Ashish Chauhan,Male,1997/12/08,Gurgaon,Tier1,Haryana,Student,Single,BR-009,11-11-2021,Standard,Friend Referral,Evening (6-9pm),False,Weight Loss,App
MBR-003625,Anil Dhawan,Male,2009/11/26,Amritsar,Tier3,Punjab,Student,Single,BR-026,11-05-2025,Basic,Instagram Ad,Morning,False,General Fitness,In-person
MBR-013577,Sudeshna Saha,Female,01-02-1999,Surat,Tier2,Gujarat,Salaried-IT,Single,BR-031,2025/09/11,Standard,Walk-in,Evening (6-9pm),False,Weight Loss,App
MBR-002559,Ashok Banerjee,Male,,Ahmedabad,Tier1,Gujarat,Business Owner,Single,BR-038,24-01-2024,Standard,Walk-in,Morning,False,Muscle Gain,App
MBR-002999,Mahesh Nambiar ,Male,11-03-2000,Coimbatore,Tier2,Tamil Nadu,Student,Single,BR-014,08-01-2024,Premium,Walk-in,Late Night,False,Rehab,App
MBR-015670,Anjali Modi,Female,1993/12/22,Delhi,Tier1,Delhi,Freelancer,Married,BR-005,2024/05/24,Basic,Friend Referral,Morning,False,Muscle Gain,App
MBR-013922,Swati Sharma ,Female,1982/11/07,Patna,Tier3,Bihar,Homemaker,Married,BR-023,2022/09/24,Basic,Instagram Ad,Early Morning (5-7am),False,Sports Training,App
MBR-012271,Suresh Bansal,Male,03-01-1995,Lucknow,Tier2,Uttar Pradesh,Govt Employee,Single,BR-004,05-04-2023,Basic,Justdial,Early Morning (5-7am),False,Weight Loss,App
MBR-013946,Pooja Iyer,Female,2000/08/08,Bangalore,Tier1,Karnataka,Student,Single,BR-033,2022/11/16,Premium,Friend Referral,Evening (6-9pm),False,Muscle Gain,In-person
MBR-005173,Radhika Mehta,Female,1999/10/28,Jalandhar,Tier2,Punjab,Business Owner,Other,BR-007,26-01-2025,Standard,Instagram Ad,Evening (6-9pm),False,Muscle Gain,Website
MBR-006668,Rekha Dhawan,Female,26-05-2008,Kolkata,Tier1,West Bengal,Student,Other,BR-017,2024/09/03,Premium,Instagram Ad,Morning,True,Weight Loss,In-person
MBR-013846,Priya Iyer,Female,17-07-1996,Bangalore,Tier1,Karnataka,Salaried-IT,Single,BR-033,11-01-2023,Basic,Instagram Ad,Evening (6-9pm),False,General Fitness,In-person
MBR-008929,Abhinav Grover,Male,25-04-1996,Gurgaon,Tier1,Haryana,Salaried-IT,Other,BR-009,2023/03/05,Standard,Walk-in,Evening (6-9pm),True,Muscle Gain,In-person
MBR-008131,Ashish Mishra,Male,12-11-1997,Bhopal,Tier2,Madhya Pradesh,Salaried-Non IT,Single,BR-034,16-01-2022,Standard,Corporate Tie-up,Evening (6-9pm),False,Weight Loss,App
MBR-005332,Karthik Shetty,Male,1999/07/02,Hyderabad,Tier1,Telangana,Business Owner,Single,BR-011,2022/06/03,Basic,Walk-in,Early Morning (5-7am),False,General Fitness,In-person
MBR-003441,Neha Khurana,Female,09-01-1993,Nashik,Tier3,Maharashtra,Salaried-IT,Other,BR-012,2025/02/07,Premium,Friend Referral,Late Night,True,Rehab,In-person
MBR-006362,Komal Chopra,Female,2005/02/27,Chennai,Tier1,Tamil Nadu,Student,Single,BR-015,06-03-2021,Basic,Walk-in,Evening (6-9pm),False,General Fitness,App
MBR-005298,Rajat Aggarwal,Male,21-11-2000,Delhi,Tier1,Delhi,Govt Employee,Single,BR-005,2024/04/28,Standard,Instagram Ad,Evening (6-9pm),False,Weight Loss,App
MBR-004936,Payal Rana,Female,02-03-1998,Gurgaon,Tier1,Haryana,Freelancer,Single,BR-009,2022/01/19,Basic,Instagram Ad,Afternoon,False,Weight Loss,In-person
MBR-008112,Karan Mehta,Male,10-01-1994,Mumbai,Tier1,Maharashtra,Govt Employee,Single,BR-039,2022/02/03,PT-Combo,Walk-in,Late Night,False,Sports Training,App
MBR-002941,Payal Verma,Female,02-12-1995,Gurugram,Tier1,Haryana,Salaried-IT,Single,BR-037,18-12-2024,Premium,Justdial,Morning,True,General Fitness,App
MBR-010210,Shalini Bansal,Female,07-09-2001,Nagpur,Tier2,Maharashtra,Salaried-Non IT,Single,BR-007,2024/05/04,Basic,Instagram Ad,Morning,True,Weight Loss,Website
MBR-017482,Kaushik Saha,Male,08-06-1997,Bengaluru,Tier1,Karnataka,Freelancer,Single,BR-033,2024/06/25,Basic,Justdial,Early Morning (5-7am),False,General Fitness,In-person
MBR-002228,Vikram Bansal,Male,2004/03/24,Indore,Tier2,Madhya Pradesh,Student,Single,BR-018,2023/10/04,Standard,Corporate Tie-up,Evening (6-9pm),True,Weight Loss,Website
MBR-017256, Ranjan Mukherjee,Male,1993/01/24,Guwahati,Tier3,Assam,Business Owner,Single,BR-031,2023/11/15,Standard,Instagram Ad,Morning,True,Muscle Gain,In-person
MBR-017124,Amit Pal,Male,1990/10/10,Hyderabad,Tier1,Telangana,Salaried-Non IT,Married,BR-011,05-09-2022,Standard,Friend Referral,Early Morning (5-7am),False,General Fitness,Website
MBR-000288,Ashish Khurana,Male,1993/11/15,Mumbai,Tier1,Maharashtra,Salaried-Non IT,Single,BR-036,06-08-2024,Standard,Friend Referral,Morning,False,Weight Loss,In-person
MBR-007455,Anitha Gowda,Female,12-06-1995,Chennai,Tier1,Tamil Nadu,Salaried-IT,Single,BR-010,05-03-2022,Standard,Friend Referral,Afternoon,False,General Fitness,App
MBR-002923,Vivek Mehta,Male,27-03-1992,Chandigarh,Tier2,Punjab,Homemaker,Single,BR-008,18-04-2022,Basic,Friend Referral,Evening (6-9pm),False,General Fitness,In-person
MBR-015741,Gaurav Tiwari,Male,2006/07/21,Patna,Tier3,Bihar,Student,Single,BR-006,21-10-2022,Standard,Instagram Ad,Evening (6-9pm),False,General Fitness,App
MBR-012216,Aryan Dhawan,Male,04-05-2000,Jaipur,Tier2,Rajasthan,Govt Employee,Single,BR-013,2024/01/23,Premium,Corporate Tie-up,Early Morning (5-7am),False,Muscle Gain,In-person
MBR-013295,Suresh Gupta,Male,2001/08/07,Chandigarh,Tier2,Punjab,Homemaker,Single,BR-008,22-03-2025,Basic,Walk-in,Evening (6-9pm),False,Muscle Gain,Website
MBR-008938,Isha Aggarwal ,Female,1998/12/10,Bhopal,Tier2,Madhya Pradesh,Business Owner,Married,BR-034,2025/04/18,Standard,Friend Referral,Early Morning (5-7am),False,General Fitness,App
MBR-009061,Bhavna Desai,Other,2008/11/21,Pune,Tier1,Maharashtra,Salaried-Non IT,Married,BR-027,2025/05/20,Basic,Friend Referral,Evening (6-9pm),False,Rehab,In-person
MBR-017468,Ishita Anand,Female,27-06-1996,Delhi,Tier1,Delhi,Salaried-IT,Married,BR-018,2022/01/01,Premium,Justdial,Afternoon,False,General Fitness,App
MBR-013590,Vikram Anand,Male,1995/03/24,Delhi,Tier1,Delhi,Salaried-IT,Married,BR-018,2025/02/04,Premium,Justdial,Morning,False,General Fitness,App
MBR-006736,Mohit Mehta,Male,,Bhopal,Tier2,Madhya Pradesh,Homemaker,Single,BR-034,2022/11/27,Premium,Instagram Ad,Morning,False,Sports Training,App
MBR-012665,Mohit Rana,Male,13-11-2007,Delhi,Tier1,Delhi,Salaried-Non IT,Single,BR-028,08-08-2024,Standard,Aggregator App,Evening (6-9pm),False,Muscle Gain,In-person
MBR-007456,Vijay Balan,Male,27-03-2005,Mysore,Tier3,Karnataka,Freelancer,Single,BR-029,2024/07/07,Standard,Aggregator App,Morning,False,Weight Loss,In-person
MBR-004649,Rajesh Sarkar,Male,2002/05/14,Kolkata,Tier1,West Bengal,Student,Single,BR-017,04-01-2021,Basic,Walk-in,Late Night,False,Weight Loss,In-person
MBR-014994,Piya Sarkar,Female,1994/05/25,Kolkata,Tier1,West Bengal,Salaried-Non IT,Single,BR-017,2023/03/03,Standard,Corporate Tie-up,Evening (6-9pm),False,Muscle Gain,App
MBR-009708,Deepak Subramaniam,Male,1985/12/20,Hyderabad,Tier1,Telangana,Business Owner,Married,BR-011,01-05-2024,Premium,Justdial,Evening (6-9pm),False,General Fitness,In-person
MBR-016457,Vidya Nambiar,Female,11-09-1995,Hyderabad,Tier1,Telangana,Student,Married,BR-011,2025/04/18,Premium,Walk-in,Late Night,False,Muscle Gain,App
MBR-003916,Madhavi Achary,Female,1996/04/18,Chennai,Tier1,Tamil Nadu,Business Owner,Married,BR-015,2023/01/16,Basic,Corporate Tie-up,Afternoon,False,Muscle Gain,In-person
MBR-001961,Venkatesh Murthy,Male,01-09-1998,Lucknow,Tier2,Uttar Pradesh,Govt Employee,Single,BR-030,01-09-2022,Basic,Friend Referral,Evening (6-9pm),False,Muscle Gain,App
MBR-011209,Parth Rane,Male,02-07-1996,Delhi,Tier1,Delhi,Business Owner,Single,BR-005,02-02-2021,Standard,Instagram Ad,Evening (6-9pm),False,General Fitness,Website
MBR-003763,Vandana Kapoor,Female,26-05-1995,Jalandhar ,Tier2,Punjab,Salaried-IT,Married,BR-007,2024/04/26,Premium,Friend Referral,Evening (6-9pm),False,Muscle Gain,App
MBR-000923,Ganesh Nambiar,Male,09-04-2005,Bengaluru,Tier1,Karnataka,Salaried-IT,Single,BR-033,08-03-2025,Basic,Corporate Tie-up,Morning,False,Muscle Gain,App
MBR-005695,Ganesh Raman,Male,1995/12/27,Mumbai,Tier1,Maharashtra,Salaried-IT,Single,BR-029,11-07-2025,Standard,Instagram Ad,Late Night,False,Muscle Gain,Website
MBR-013670,Kavya Pillai ,Female,14-12-2002,Hyderabad,Tier1,Telangana,Freelancer,Single,BR-011,15-08-2025,Basic,Friend Referral,Morning,False,Sports Training,App
MBR-001534,Simran Bansal,Female,1999/08/24,Nagpur,Tier2,Maharashtra,Student,Married,BR-001,14-06-2021,Basic,Friend Referral,Evening (6-9pm),False,Weight Loss,App
MBR-014350,Manish Singh,Male,2000/07/08,Coimbatore,Tier2,Tamil Nadu,Student,Single,BR-019,2022/09/26,Standard,Walk-in,Afternoon,False,Muscle Gain,App
MBR-010386,Vivek Chauhan,Male,1999/11/05,Delhi,Tier1,Delhi,Salaried-Non IT,Single,BR-018,24-08-2025,Standard,Instagram Ad,Morning,False,Muscle Gain,App
MBR-002070,Sanjay Gaikwad,Male,06-12-1998, Mumbai,Tier1,Maharashtra,Salaried-IT,Single,BR-016,2022/01/01,Standard,Walk-in,Evening (6-9pm),False,Weight Loss,Website
MBR-007311,Pratik Trivedi,Male,1999/07/07,Pune,Tier1,Maharashtra,Freelancer,Single,BR-027,13-02-2023,Standard,Aggregator App,Afternoon,False,Muscle Gain,App
MBR-010187,Meena Bhalla,Female,20-12-2009,Jaipur,Tier2,Rajasthan,Student,Single,BR-013,10-07-2025,Basic,Walk-in,Evening (6-9pm),False,Muscle Gain,App
MBR-000086,Naveen Tiwari,Male,2003/03/26,Delhi,Tier1,Delhi,Freelancer,Single,BR-028,2021/07/08,Standard,Instagram Ad,Evening (6-9pm),False,General Fitness,App
MBR-001190,Aryan Bhatia,Male,2004/06/10,Mumbai,Tier1,Maharashtra,Student,Single,BR-036,2023/05/12,Premium,Instagram Ad,Evening (6-9pm),True,Weight Loss,App
MBR-009398,Vishal Chavan,Male,2006/09/26,Nagpur,Tier2,Maharashtra,Salaried-IT,Single,BR-007,14-10-2022,Standard,Walk-in,Evening (6-9pm),True,Weight Loss,App
MBR-002801,Karthik Nambiar,Male,04-03-2000,Coimbatore,Tier2,Tamil Nadu,Freelancer,Single,BR-019,04-01-2024,Basic,Walk-in,Evening (6-9pm),False,Muscle Gain,App
MBR-005790,Madhumita Dutta,Female,1994/12/09,Patna,Tier3,Bihar,Homemaker,Married,BR-023,11-06-2022,Basic,Instagram Ad,Afternoon,False,General Fitness,Website
MBR-011001,Kishore Murthy,Male,1992/03/19,Bangalore,Tier1,Karnataka,Salaried-Non IT,Married,BR-033,2022/01/19,PT-Combo,Instagram Ad,Evening (6-9pm),True,Weight Loss,Website
MBR-012567,Preeti Khanna,Female,2006/10/27,Lucknow,Tier2,Uttar Pradesh,Student,Single,BR-030,26-01-2024,Premium,Walk-in,Morning,False,Weight Loss,Website
MBR-014613,Biswajit Bhattacharya,Male,1992/01/26,Kolkata,Tier1,West Bengal,Govt Employee,Married,BR-017,2022/11/02,Premium,Justdial,Evening (6-9pm),False,General Fitness,App
MBR-008264,Yash Khanna,Male,2006/03/14,Jalandhar,Tier2,Punjab,Salaried-IT,Single,BR-007,09-08-2022,Standard,Friend Referral,Afternoon,True,Weight Loss,App
MBR-003871,Tapan Bose,Male,1996/01/02,Ahmedabad,Tier1,Gujarat,Salaried-Non IT,Single,BR-038,2022/01/08,Basic,Justdial,Morning,False,Weight Loss,In-person
MBR-003845,Abhinav Khurana,Male,04-06-1991,Gurugram,Tier1,Haryana,Govt Employee,Single,BR-009,2021/09/12,Premium,Walk-in,Evening (6-9pm),False,Pre-Wedding Prep,Website
